,var1(t),var1(t+1),var1(t+2),var1(t+3),var1(t+4),var1(t+5),var1(t+6),var1(t+7),var1(t+8),var1(t+9),var1(t+10),var1(t+11),var1(t+12),var1(t+13),var1(t+14),var1(t+15)
2019-01-09 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075990303338326
2019-01-09 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075990303338326,3.2944820752925983
2019-01-09 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075990303338326,3.2944820752925983,5.936503572075515
2019-01-09 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075990303338326,3.2944820752925983,5.936503572075515,8.803588804946735
2019-01-09 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075990303338326,3.2944820752925983,5.936503572075515,8.803588804946735,11.742461830924615
2019-01-09 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075990303338326,3.2944820752925983,5.936503572075515,8.803588804946735,11.742461830924615,14.64109341103271
2019-01-09 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075990303338326,3.2944820752925983,5.936503572075515,8.803588804946735,11.742461830924615,14.64109341103271,17.415447861862432
2019-01-09 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075990303338326,3.2944820752925983,5.936503572075515,8.803588804946735,11.742461830924615,14.64109341103271,17.415447861862432,20.000389762045884
2019-01-09 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075990303338326,3.2944820752925983,5.936503572075515,8.803588804946735,11.742461830924615,14.64109341103271,17.415447861862432,20.000389762045884,22.34671511100746
2019-01-09 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,1.075990303338326,3.2944820752925983,5.936503572075515,8.803588804946735,11.742461830924615,14.64109341103271,17.415447861862432,20.000389762045884,22.34671511100746,24.4169825033738
