,var1(t),var1(t+1),var1(t+2),var1(t+3),var1(t+4),var1(t+5),var1(t+6),var1(t+7),var1(t+8),var1(t+9),var1(t+10),var1(t+11),var1(t+12),var1(t+13),var1(t+14),var1(t+15)
2018-08-16 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144481445844828
2018-08-16 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144481445844828,0.9453656243929596
2018-08-16 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197
2018-08-16 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003
2018-08-16 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165
2018-08-16 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176
2018-08-16 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794
2018-08-16 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076
2018-08-16 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711
2018-08-16 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711,16.250931697079714
2018-08-16 04:00:00,0.0,0.0,0.0,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711,16.250931697079714,18.183859934859143
2018-08-16 04:15:00,0.0,0.0,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711,16.250931697079714,18.183859934859143,19.99189446444127
2018-08-16 04:30:00,0.0,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711,16.250931697079714,18.183859934859143,19.99189446444127,21.67254742543296
2018-08-16 04:45:00,0.0,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711,16.250931697079714,18.183859934859143,19.99189446444127,21.67254742543296,23.187977819520473
2018-08-16 05:00:00,0.0,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711,16.250931697079714,18.183859934859143,19.99189446444127,21.67254742543296,23.187977819520473,24.554045109850748
2018-08-16 05:15:00,0.144481445844828,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711,16.250931697079714,18.183859934859143,19.99189446444127,21.67254742543296,23.187977819520473,24.554045109850748,25.769931327850337
2018-08-16 05:30:00,0.9453656243929596,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711,16.250931697079714,18.183859934859143,19.99189446444127,21.67254742543296,23.187977819520473,24.554045109850748,25.769931327850337,26.87132461908804
2018-08-16 05:45:00,2.2121527655859197,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711,16.250931697079714,18.183859934859143,19.99189446444127,21.67254742543296,23.187977819520473,24.554045109850748,25.769931327850337,26.87132461908804,27.83386196686426
2018-08-16 06:00:00,3.8504152510738003,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711,16.250931697079714,18.183859934859143,19.99189446444127,21.67254742543296,23.187977819520473,24.554045109850748,25.769931327850337,26.87132461908804,27.83386196686426,28.665458455163872
2018-08-16 06:15:00,5.7451005213620165,7.802970505566176,9.943799853264794,12.104825669751076,14.215358782733711,16.250931697079714,18.183859934859143,19.99189446444127,21.67254742543296,23.187977819520473,24.554045109850748,25.769931327850337,26.87132461908804,27.83386196686426,28.665458455163872,29.370198663012136
2018-08-16 06:30:00,4.565535612713995,5.961296595413108,7.402313709783459,8.842472106834599,10.263141357540364,11.643433129477188,12.965375989131434,14.223393677234005,15.38838444586697,16.46612828061151,17.4515047696058,18.364268777317662,19.183604950387654,19.91055811536415,20.543756248935274,21.091624765705326
2018-08-16 06:45:00,6.621914739471459,8.33959384388296,10.074323847346145,11.801825087707893,13.495434869526353,15.131781755113932,16.70191682540766,18.169244866170086,19.538053404908688,20.799959023342645,21.97637932219436,23.040475781787706,23.991494965405025,24.82591200980588,25.55220194895474,26.164201906970813
2018-08-16 07:00:00,8.88882042186941,10.817979608474422,12.749162246042525,14.651688603226745,16.498439472150277,18.278030548612158,19.948840007693207,21.513961283796124,22.962724968119666,24.31747249914586,25.547343282969695,26.65029945451342,27.621315658707868,28.468817588797556,29.18506022666398,29.772000761270608
2018-08-16 07:15:00,11.238652991998649,13.29807415367409,15.332731691308679,17.313042098026685,19.22596161393542,21.026670084039992,22.717378629309295,24.28590160416151,25.755046637607997,27.09140556820289,28.292073642489306,29.351034975717962,30.276631394918507,31.060094134747807,31.70303566155045,32.20215978687933
2018-08-16 07:30:00,13.621390846679883,15.741799490671715,17.80910749641159,19.809116056393357,21.694916765126855,23.468064857240005,25.115344517601486,26.659788543901538,28.06633297211266,29.33147471537263,30.448527838738737,31.42574523688869,32.25367860787622,32.93369666709214,33.462120992776,33.85477081569136
2018-08-16 07:45:00,15.929950124028704,18.040969456602312,20.084857038645385,22.013652756439377,23.828541460126175,25.515768335529668,27.09843981943588,28.540661824988284,29.838613699954756,30.985260348310184,31.98879272154118,32.83941470380468,33.53836287587218,34.08176110401643,34.48561939419605,34.73690232148844
2018-08-16 08:00:00,18.142080988681496,20.206711818416334,22.155890262732587,23.990607308323938,25.696843953316847,27.297722730200626,28.756959067684075,30.070574619087377,31.231363791019273,32.2474801960933,33.10896073841956,33.81697515075503,34.36755142307557,34.77678396715679,35.03149167585506,35.13212355533858
2018-08-16 08:15:00,20.198463544166103,22.146155545874322,23.979423678232212,25.684268829247127,27.283813711838985,28.741802011627705,30.054267396379743,31.21401706421871,32.22920792466149,33.089889209626534,33.79723582965883,34.34728292117383,34.75611917493246,35.01057400409762,35.11109794044497,35.05820994273788
2018-08-16 08:30:00,22.095775443759198,23.92101193943474,25.618130718109473,27.210262865841088,28.661307197459784,29.96736664937731,31.12132113450861,32.13134892727813,32.98756828064627,33.691184399258,34.23827279730863,34.64489288084869,34.897931699407835,34.99784866865088,34.94516541790477,34.738425480249184
2018-08-16 08:45:00,23.844173928780464,25.530463399372525,27.11219738561701,28.553489716559124,29.850543907115718,30.99634409311879,31.999102669468655,32.849035407329126,33.547392079460494,34.09030574469091,34.49379815125445,34.74483606938165,34.843891930001526,34.791491365157974,34.58618188152266,34.228584149476255
2018-08-16 09:00:00,25.42908603664245,26.998076796839648,28.42740426210394,29.713399258694153,30.84917628829237,31.842994487579887,32.68518996894161,33.37706958503489,33.91483799117814,34.31447484495195,34.56304327742393,34.66103232688983,34.60897283535521,34.405416799265225,34.05096733370117,33.55019188101728
2018-08-16 09:15:00,26.881802761770718,28.298268166391022,29.572363822810544,30.697346950590475,31.681531974750733,32.515385090724806,33.20027698989037,33.73249032010563,34.12796374147335,34.37386247364957,34.470694067671495,34.418995275121475,34.217322520550866,33.86625966105841,33.370321250608804,32.72821443105638
2018-08-16 09:30:00,28.151386834030244,29.395107137084793,30.49075392272179,31.447397800033162,32.25631478001175,32.91953279485384,33.4339381660032,33.815791382905736,34.052718323906625,34.14545163999021,34.09462626540792,33.89878713044652,33.55835933448493,33.0775393816398,32.454652516631725,31.70098616688198
2018-08-16 09:45:00,29.32226147867578,30.404697792430202,31.348900899847774,32.146524220939895,32.79990550937106,33.30621395424017,33.681867799730206,33.91470512272613,34.0055649034184,33.955128621912316,33.7619353030493,33.42633553907169,32.9523777961396,32.33820699345245,31.594833591998707,30.709292850848932
2018-08-16 10:00:00,30.36671646908312,31.305007322714676,32.097251678120415,32.74593970476612,33.24837909339081,33.62106801697045,33.85194703902548,33.941907531354936,33.891653972868845,33.699722296033876,33.36642656662381,32.895743150057854,32.2857281397584,31.547257595834925,30.667248164702556,29.64969307464761
2018-08-16 10:15:00,31.203785416597963,31.982765554866255,32.6198606395994,33.112728974737095,33.47807722249594,33.70410216600591,33.79182856550027,33.74201960335685,33.55320292773241,33.225600037087354,32.76300565432302,32.16324979618082,31.43687106128962,30.570480871059868,29.56765203716741,28.42717356731235
2018-08-16 10:30:00,31.979261030866585,32.61597926496367,33.10853604452241,33.473645147666666,33.69951178344113,33.78716517085568,33.737370459021804,33.54865500718314,33.221237232360195,32.75890584264348,32.159483300216316,31.433497062840015,30.567548254668406,29.565195723553245,28.425213660678736,27.153646926848058
2018-08-16 10:45:00,32.59462875120977,33.08537831171324,33.44909919739447,33.67404596117107,33.76127431022687,33.71156110057644,33.523431914134676,33.19708692862672,32.736279413427155,32.138786966068395,31.415071577234606,30.551672717684802,29.55206674470669,28.414940118001077,27.146241577961042,25.74339509796135
2018-08-16 11:00:00,33.0476098002894,33.408961572577965,33.63233713671259,33.71883831906478,33.669262392992415,33.48213175763832,33.15761493195035,32.699403911231315,32.10519820149572,31.385346855019726,30.526281300882214,29.531334953135172,28.39904195113726,27.13518474202155,25.737020462338574,24.20977980979774
2018-08-16 11:15:00,33.38256878224687,33.60487210060042,33.69087637963687,33.64139306511175,33.45494230160501,33.13167071650083,32.675228066424765,32.08325973778306,31.36603707108552,30.509916219923888,29.518131888205108,28.38911286779145,27.12852692172942,25.73351588093385,24.20919242699133,22.558514835418706
2018-08-16 11:30:00,33.599036910707596,33.68493263223987,33.63546935927291,33.44916673110269,33.12616655093568,32.67010928810573,32.0786283837918,31.36197811385661,30.506497954326754,29.515400877731263,28.387092457879152,27.1272152337686,25.73288563688905,24.209190414695357,22.55906278126126,20.80019129614327
2018-08-16 11:45:00,33.67629894928337,33.62686507694983,33.44078056552738,33.11818007173024,32.66269032304354,32.07192705011834,31.356119296860363,30.501581763172606,29.51149524552372,28.38423092052955,27.12539399881715,25.732063293721193,24.209287191711987,22.559961846128214,20.801742062071302,18.93521033826561
2018-08-16 12:00:00,33.61643871058751,33.43061799372097,33.10850087703293,32.653697479870964,32.0638021343974,31.349013386657127,30.495616009532622,29.506751915768177,28.380750717478108,27.12317251191508,25.7310506539659,24.209387165633693,22.561033405700993,20.80360336679223,18.93764305434552,16.979091752379595
2018-08-16 12:15:00,33.40815461743698,33.08707975831664,32.63375640581739,32.04573330312518,31.33314370525605,30.48220885225426,29.495987614775363,28.372720929255884,27.117872459144493,25.72837852712031,24.209141963542578,22.562918251208757,20.807233648302574,18.94255583105926,16.98476216565533,14.953586619943335
2018-08-16 12:30:00,33.08593980979085,32.632690552566885,32.04476125879449,31.332281972624063,30.481470876033928,29.495382780859376,28.37225430077274,27.117544375111933,25.72818459049064,24.209072907901906,22.56296009839372,20.80736806137609,18.942760596839044,16.98501194332724,14.953853965244098,12.876352096339316
2018-08-16 12:45:00,32.62946851867506,32.04178996222312,31.329606201645397,30.479127940170432,29.493399705444297,28.370647223761548,27.11631740378767,25.72732987094373,24.208570129259915,22.562776868090886,20.807460542744387,18.943074865419344,16.985485578707646,14.954418480343119,12.876936130339429,10.776792097547547
2018-08-16 13:00:00,32.037494648522056,31.32564661677852,30.47554965614021,29.4902380654963,28.3679269165252,27.114050994072826,25.72551813473688,24.207201146343667,22.561826336010967,20.806891735028277,18.942840343205564,16.985527973426628,14.954672479646767,12.877331110130896,10.777255048123012,8.6924829115696
2018-08-16 13:15:00,31.3311585611301,30.480740394551926,29.495067325285053,28.372359037979116,27.11805655593514,25.72907304616284,24.210288229329286,22.564435329550527,20.809021195084927,18.94449578789545,16.98672372924804,14.955431912055344,12.877686864005785,10.777248832937666,8.692165947588865,6.66656556899633
